"utterance","targets"
corr of proanthocyanins with malic_acid in wine data,"corr ( data = wine, var1 = proanthocyanins , var2 = malic_acid )"
cor between proanthocyanins with ash in wine,"corr ( data = wine, var1 = proanthocyanins , var2 = ash )"
scatter plot of proanthocyanins with varor_intensity in wine df,"scatterplot ( data = wine, var1 = proanthocyanins , var2 = varor_intensity )"
corr of proanthocyanins and malic_acid in wine,"corr ( data = wine, var1 = proanthocyanins , var2 = malic_acid )"
correlation of proanthocyanins and malic_acid in wine dataset,"corr ( data = wine, var1 = proanthocyanins , var2 = malic_acid )"
scatterplot of proanthocyanins and hue in wine dataset,"scatterplot ( data = wine, var1 = proanthocyanins , var2 = hue )"
correlation of proanthocyanins and hue in wine data,"corr ( data = wine, var1 = proanthocyanins , var2 = hue )"
load wine data  and store in {data}_data,load ( data = wine )
load wine data  and store in variable ,load ( data = wine )
store wine data  and store in {data}_data,load ( data = wine )
load wine data  and store in variable {data}_data,load ( data = wine )
histogram of the varor_intensity in wine df,"histogram ( data = wine , var1 = varor_intensity )"
amount of the varor_intensity in wine df,"summation ( data = wine , var1 = varor_intensity )"
typical of varor_intensity in wine dataset,"mean ( data = wine , var1 = varor_intensity )"
cor of varor_intensity in wine,"corr ( data = wine , var1 = varor_intensity )"
ranges of varor_intensity in wine df,"ranges ( data = wine , var1 = varor_intensity )"
std of varor_intensity in wine df,"std ( data = wine , var1 = varor_intensity )"
hist of varor_intensity in wine,"histogram ( data = wine , var1 = varor_intensity )"
average of the varor_intensity in wine dataset,"mean ( data = wine , var1 = varor_intensity )"
average of varor_intensity in wine data,"mean ( data = wine , var1 = varor_intensity )"
correlation of varor_intensity in wine dataset,"corr ( data = wine , var1 = varor_intensity )"
cor of the varor_intensity in wine df,"corr ( data = wine , var1 = varor_intensity )"
variance of the varor_intensity in wine,"variance ( data = wine , var1 = varor_intensity )"
minimum of the varor_intensity in wine,"minimum ( data = wine , var1 = varor_intensity )"
typical of varor_intensity in wine df,"mean ( data = wine , var1 = varor_intensity )"
ranges of the varor_intensity in wine df,"ranges ( data = wine , var1 = varor_intensity )"
mean of varor_intensity in wine dataset,"mean ( data = wine , var1 = varor_intensity )"
range of varor_intensity in wine data,"ranges ( data = wine , var1 = varor_intensity )"
mean of varor_intensity in wine data,"mean ( data = wine , var1 = varor_intensity )"
sd of the varor_intensity in wine,"std ( data = wine , var1 = varor_intensity )"
highest of the varor_intensity in wine,"maximum ( data = wine , var1 = varor_intensity )"
largest of wine,maximum ( data = wine )
Number of rows where varor_intensity greater than or equal to -19.61426948184159 dataset,"greater_eq ( data = wine , var1 = varor_intensity , val = -19.61426948184159 )"
How many entries  varor_intensity higher than or equal to 94.13586311102787 dataset,"greater_eq ( data = wine , var1 = varor_intensity , val = 94.13586311102787 )"
Number of info where varor_intensity higher than or equal to 75.57387940472395 dataset,"greater_eq ( data = wine , var1 = varor_intensity , val = 75.57387940472395 )"
How many entries with varor_intensity bigger than -89.32569478703756 dataset,"greater ( data = wine , var1 = varor_intensity , val = -89.32569478703756 )"
How many info  varor_intensity greater than or equal to 21.57210499522668 df,"greater_eq ( data = wine , var1 = varor_intensity , val = 21.57210499522668 )"
How many rows where varor_intensity larger than 33.66724599127443 df,"greater ( data = wine , var1 = varor_intensity , val = 33.66724599127443 )"
Number of data with varor_intensity larger than or equal to -58.401682689848265 ,"greater_eq ( data = wine , var1 = varor_intensity , val = -58.401682689848265 )"
Number of data with varor_intensity less than or same as -39.42553651767866 df,"less_eq ( data = wine , var1 = varor_intensity , val = -39.42553651767866 )"
Number of rows  varor_intensity larger than -96.63892294697047 ,"greater ( data = wine , var1 = varor_intensity , val = -96.63892294697047 )"
How many entries where varor_intensity smaller than or equal to 37.955910009395865 data,"less_eq ( data = wine , var1 = varor_intensity , val = 37.955910009395865 )"
Number of entries  varor_intensity  <=  -62.43577060973979 dataset,"less_eq ( data = wine , var1 = varor_intensity , val = -62.43577060973979 )"
How many data with varor_intensity lower than or equal to 52.75751138843364 df,"less_eq ( data = wine , var1 = varor_intensity , val = 52.75751138843364 )"
How many entries  varor_intensity > -37.19623353500929 ,"greater ( data = wine , var1 = varor_intensity , val = -37.19623353500929 )"
How many data  varor_intensity less than or equal to 8.877212345432312 data,"less_eq ( data = wine , var1 = varor_intensity , val = 8.877212345432312 )"
Number of data where varor_intensity <= -57.672446491300235 df,"less_eq ( data = wine , var1 = varor_intensity , val = -57.672446491300235 )"
Number of entries with varor_intensity smaller than or equal to 70.25915248617758 ,"less_eq ( data = wine , var1 = varor_intensity , val = 70.25915248617758 )"
corr between varor_intensity and hue in wine df,"corr ( data = wine, var1 = varor_intensity , var2 = hue )"
corr between varor_intensity with alcohol in wine data,"corr ( data = wine, var1 = varor_intensity , var2 = alcohol )"
scatter plot between varor_intensity with ash in wine,"scatterplot ( data = wine, var1 = varor_intensity , var2 = ash )"
cor of varor_intensity and magnesium in wine dataset,"corr ( data = wine, var1 = varor_intensity , var2 = magnesium )"
corr of varor_intensity and hue in wine data,"corr ( data = wine, var1 = varor_intensity , var2 = hue )"
correlation of varor_intensity and hue in wine,"corr ( data = wine, var1 = varor_intensity , var2 = hue )"
corr of varor_intensity with proanthocyanins in wine data,"corr ( data = wine, var1 = varor_intensity , var2 = proanthocyanins )"
scatterplot of varor_intensity and ash in wine df,"scatterplot ( data = wine, var1 = varor_intensity , var2 = ash )"
load wine data ,load ( data = wine )
load wine dataset ,load ( data = wine )
store wine df  and store in d,load ( data = wine )
load wine data  and store in ,load ( data = wine )
amount of hue in wine,"summation ( data = wine , var1 = hue )"
quantile of the hue in wine data,"quantile ( data = wine , var1 = hue )"
sum of the hue in wine df,"summation ( data = wine , var1 = hue )"
quantile of hue in wine df,"quantile ( data = wine , var1 = hue )"
smallest of hue in wine,"minimum ( data = wine , var1 = hue )"
max of the hue in wine df,"maximum ( data = wine , var1 = hue )"
distribution of the hue in wine data,"histogram ( data = wine , var1 = hue )"
typical of hue in wine df,"mean ( data = wine , var1 = hue )"
min of the hue in wine,"minimum ( data = wine , var1 = hue )"
highest of hue in wine dataset,"maximum ( data = wine , var1 = hue )"
max of the hue in wine,"maximum ( data = wine , var1 = hue )"
span of hue in wine dataset,"ranges ( data = wine , var1 = hue )"
sparsity of the hue in wine,"std ( data = wine , var1 = hue )"
hist of hue in wine,"histogram ( data = wine , var1 = hue )"
boxplot of the hue in wine df,"boxplot ( data = wine , var1 = hue )"
variance of the hue in wine data,"variance ( data = wine , var1 = hue )"
min of the hue in wine data,"minimum ( data = wine , var1 = hue )"
cor of the hue in wine data,"corr ( data = wine , var1 = hue )"
ranges of hue in wine data,"ranges ( data = wine , var1 = hue )"
distribution of hue in wine data,"histogram ( data = wine , var1 = hue )"
highest of the wine,maximum ( data = wine )
How many rows where hue lower than or equal to 47.12578776670526 data,"less_eq ( data = wine , var1 = hue , val = 47.12578776670526 )"
How many rows with hue lower than -43.20989207190959 dataset,"less ( data = wine , var1 = hue , val = -43.20989207190959 )"
Number of entries with hue  <=  -2.4466319025662244 dataset,"less_eq ( data = wine , var1 = hue , val = -2.4466319025662244 )"
Number of data where hue less than or equal to 76.34263538967258 data,"less_eq ( data = wine , var1 = hue , val = 76.34263538967258 )"
Number of entries  hue higher than or equal to -9.549028667575968 data,"greater_eq ( data = wine , var1 = hue , val = -9.549028667575968 )"
How many rows  hue bigger than or same as 87.00192182584848 data,"greater_eq ( data = wine , var1 = hue , val = 87.00192182584848 )"
How many entries with hue == -91.68370754812256 ,"equal ( data = wine , var1 = hue , val = -91.68370754812256 )"
How many entries with hue smaller than or equal to 48.831670543392846 data,"less_eq ( data = wine , var1 = hue , val = 48.831670543392846 )"
Number of rows with hue smaller than or equal to 89.52777221391298 ,"less_eq ( data = wine , var1 = hue , val = 89.52777221391298 )"
Number of entries  hue equal to -67.92604002278759 data,"equal ( data = wine , var1 = hue , val = -67.92604002278759 )"
Number of info where hue  <=  -68.32341447720239 data,"less_eq ( data = wine , var1 = hue , val = -68.32341447720239 )"
Number of data where hue <= 4.758638816323682 df,"less_eq ( data = wine , var1 = hue , val = 4.758638816323682 )"
How many info  hue bigger than or same as 59.77902258890981 df,"greater_eq ( data = wine , var1 = hue , val = 59.77902258890981 )"
Number of entries  hue smaller than or same as 99.13373230446132 dataset,"less_eq ( data = wine , var1 = hue , val = 99.13373230446132 )"
Number of entries with hue <= -40.48255021603655 dataset,"less_eq ( data = wine , var1 = hue , val = -40.48255021603655 )"
Number of data where hue  >=  -50.76171243081906 data,"greater_eq ( data = wine , var1 = hue , val = -50.76171243081906 )"
scatterplot of hue with nonflavanoid_phenols in wine data,"scatterplot ( data = wine, var1 = hue , var2 = nonflavanoid_phenols )"
correlation between hue and flavanoids in wine data,"corr ( data = wine, var1 = hue , var2 = flavanoids )"
corr of hue with varor_intensity in wine data,"corr ( data = wine, var1 = hue , var2 = varor_intensity )"
corr of hue with proanthocyanins in wine data,"corr ( data = wine, var1 = hue , var2 = proanthocyanins )"
corr of hue and flavanoids in wine data,"corr ( data = wine, var1 = hue , var2 = flavanoids )"
corr of hue and malic_acid in wine df,"corr ( data = wine, var1 = hue , var2 = malic_acid )"
scatterplot of hue with flavanoids in wine,"scatterplot ( data = wine, var1 = hue , var2 = flavanoids )"
scatterplot between hue with alcalinity_of_ash in wine data,"scatterplot ( data = wine, var1 = hue , var2 = alcalinity_of_ash )"
load wine dataset  and store in a,load ( data = wine )
store wine data  and store in variable {data}_df,load ( data = wine )
store wine data  and store in data,load ( data = wine )
load wine data  in {data}_df,load ( data = wine )
typical of the buying in car data,"mean ( data = car , var1 = buying )"
sum of the buying in car,"summation ( data = car , var1 = buying )"
sum of buying in car df,"summation ( data = car , var1 = buying )"
spans of the buying in car data,"ranges ( data = car , var1 = buying )"
spans of buying in car df,"ranges ( data = car , var1 = buying )"
typical of buying in car data,"mean ( data = car , var1 = buying )"
minimum of buying in car,"minimum ( data = car , var1 = buying )"
sparsity of buying in car df,"std ( data = car , var1 = buying )"
spans of buying in car data,"ranges ( data = car , var1 = buying )"
cor of buying in car df,"corr ( data = car , var1 = buying )"
minimum of buying in car data,"minimum ( data = car , var1 = buying )"
boxplot of buying in car data,"boxplot ( data = car , var1 = buying )"
highest of the buying in car df,"maximum ( data = car , var1 = buying )"
highest of the buying in car dataset,"maximum ( data = car , var1 = buying )"
span of the buying in car dataset,"ranges ( data = car , var1 = buying )"
minimum of buying in car df,"minimum ( data = car , var1 = buying )"
max of the buying in car data,"maximum ( data = car , var1 = buying )"
maximum of the buying in car data,"maximum ( data = car , var1 = buying )"
var of buying in car dataset,"variance ( data = car , var1 = buying )"
max of the buying in car data,"maximum ( data = car , var1 = buying )"
range of the car,ranges ( data = car )
Number of info where buying bigger than 84.93372935581945 data,"greater ( data = car , var1 = buying , val = 84.93372935581945 )"
How many rows with buying lower than 76.36780511665805 ,"less ( data = car , var1 = buying , val = 76.36780511665805 )"
How many info with buying bigger than -88.42612482446444 dataset,"greater ( data = car , var1 = buying , val = -88.42612482446444 )"
How many entries where buying > 23.63702979928533 df,"greater ( data = car , var1 = buying , val = 23.63702979928533 )"
How many data where buying bigger than or equal to 96.89584632790337 data,"greater_eq ( data = car , var1 = buying , val = 96.89584632790337 )"
How many info with buying bigger than or same as -19.3740329361582 df,"greater_eq ( data = car , var1 = buying , val = -19.3740329361582 )"
How many rows  buying  >  23.258592633314464 df,"greater ( data = car , var1 = buying , val = 23.258592633314464 )"
Number of entries where buying larger than -77.25209328382914 data,"greater ( data = car , var1 = buying , val = -77.25209328382914 )"
How many entries with buying higher than or same as 5.128345838507769 ,"greater_eq ( data = car , var1 = buying , val = 5.128345838507769 )"
Number of data where buying less than 88.17971947548534 dataset,"less ( data = car , var1 = buying , val = 88.17971947548534 )"
Number of data  buying bigger than -54.37294601900622 data,"greater ( data = car , var1 = buying , val = -54.37294601900622 )"
Number of data with buying lower than or equal to 44.18053997413759 data,"less_eq ( data = car , var1 = buying , val = 44.18053997413759 )"
How many data where buying < -24.632731985586105 df,"less ( data = car , var1 = buying , val = -24.632731985586105 )"
Number of info where buying equal to 37.6588778365693 data,"equal ( data = car , var1 = buying , val = 37.6588778365693 )"
Number of rows  buying higher than or equal to -57.467373171533744 df,"greater_eq ( data = car , var1 = buying , val = -57.467373171533744 )"
Number of entries where buying larger than or equal to 12.712662553220568 ,"greater_eq ( data = car , var1 = buying , val = 12.712662553220568 )"
scatterplot of buying and doors in car,"scatterplot ( data = car, var1 = buying , var2 = doors )"
cor between buying with doors in car dataset,"corr ( data = car, var1 = buying , var2 = doors )"
correlation between buying and persons in car data,"corr ( data = car, var1 = buying , var2 = persons )"
correlation between buying with maint in car df,"corr ( data = car, var1 = buying , var2 = maint )"
scatterplot between buying with comfort in car dataset,"scatterplot ( data = car, var1 = buying , var2 = comfort )"
scatterplot between buying with doors in car df,"scatterplot ( data = car, var1 = buying , var2 = doors )"
cor of buying with lug_boot in car df,"corr ( data = car, var1 = buying , var2 = lug_boot )"
scatter plot between buying and doors in car dataset,"scatterplot ( data = car, var1 = buying , var2 = doors )"
store car df  and store in variable d,load ( data = car )
store car dataset  and store in data,load ( data = car )
load car   and store in a,load ( data = car )
load car df  in df,load ( data = car )
std of the maint in car data,"std ( data = car , var1 = maint )"
highest of the maint in car,"maximum ( data = car , var1 = maint )"
sparsity of maint in car df,"variance ( data = car , var1 = maint )"
min of maint in car data,"minimum ( data = car , var1 = maint )"
average of maint in car df,"mean ( data = car , var1 = maint )"
mean of the maint in car data,"mean ( data = car , var1 = maint )"
corr of maint in car dataset,"corr ( data = car , var1 = maint )"
histogram of maint in car data,"histogram ( data = car , var1 = maint )"
average of maint in car dataset,"mean ( data = car , var1 = maint )"
var of maint in car data,"variance ( data = car , var1 = maint )"
spans of the maint in car df,"ranges ( data = car , var1 = maint )"
spans of maint in car dataset,"ranges ( data = car , var1 = maint )"
aggregate of maint in car df,"summation ( data = car , var1 = maint )"
typical of the maint in car dataset,"mean ( data = car , var1 = maint )"
sum of maint in car dataset,"summation ( data = car , var1 = maint )"
ranges of maint in car dataset,"ranges ( data = car , var1 = maint )"
ranges of maint in car data,"ranges ( data = car , var1 = maint )"
max of the maint in car,"maximum ( data = car , var1 = maint )"
histogram of the maint in car df,"histogram ( data = car , var1 = maint )"
boxplot of the maint in car,"boxplot ( data = car , var1 = maint )"
quantile of car,quantile ( data = car )
Number of entries with maint > -56.758042890007964 dataset,"greater ( data = car , var1 = maint , val = -56.758042890007964 )"
Number of rows with maint greater than or equal to -74.49621021646774 data,"greater_eq ( data = car , var1 = maint , val = -74.49621021646774 )"
How many info with maint bigger than -67.58417621011557 df,"greater ( data = car , var1 = maint , val = -67.58417621011557 )"
How many data where maint smaller than 22.361682558826217 ,"less ( data = car , var1 = maint , val = 22.361682558826217 )"
How many entries where maint greater than or same as -75.11391235895263 dataset,"greater_eq ( data = car , var1 = maint , val = -75.11391235895263 )"
Number of data where maint  >=  -33.378511847306044 ,"greater_eq ( data = car , var1 = maint , val = -33.378511847306044 )"
Number of data  maint is 1.3297940570439266 dataset,"equal ( data = car , var1 = maint , val = 1.3297940570439266 )"
Number of entries with maint larger than or equal to 68.67163062701519 ,"greater_eq ( data = car , var1 = maint , val = 68.67163062701519 )"
How many entries  maint equal to 37.369309535003396 df,"equal ( data = car , var1 = maint , val = 37.369309535003396 )"
How many rows  maint  <=  -14.115736320088203 ,"less_eq ( data = car , var1 = maint , val = -14.115736320088203 )"
How many data where maint higher than or equal to 98.82238798749393 data,"greater_eq ( data = car , var1 = maint , val = 98.82238798749393 )"
Number of data with maint bigger than -16.891386804327155 dataset,"greater ( data = car , var1 = maint , val = -16.891386804327155 )"
How many entries where maint smaller than 24.778668366393973 dataset,"less ( data = car , var1 = maint , val = 24.778668366393973 )"
Number of info where maint bigger than or equal to -17.005497672531206 data,"greater_eq ( data = car , var1 = maint , val = -17.005497672531206 )"
Number of entries  maint bigger than or same as 84.72799308854059 data,"greater_eq ( data = car , var1 = maint , val = 84.72799308854059 )"
How many rows with maint  >  -62.923441610242435 df,"greater ( data = car , var1 = maint , val = -62.923441610242435 )"
cor between maint with lug_boot in car,"corr ( data = car, var1 = maint , var2 = lug_boot )"
corr between maint with lug_boot in car dataset,"corr ( data = car, var1 = maint , var2 = lug_boot )"
corr between maint with lug_boot in car data,"corr ( data = car, var1 = maint , var2 = lug_boot )"
scatterplot between maint and doors in car data,"scatterplot ( data = car, var1 = maint , var2 = doors )"
corr of maint with lug_boot in car dataset,"corr ( data = car, var1 = maint , var2 = lug_boot )"
correlation of maint and buying in car,"corr ( data = car, var1 = maint , var2 = buying )"
cor between maint with comfort in car,"corr ( data = car, var1 = maint , var2 = comfort )"
cor of maint and lug_boot in car,"corr ( data = car, var1 = maint , var2 = lug_boot )"
store car df  and store in variable ,load ( data = car )
store car data  and store in variable data,load ( data = car )
store car dataset  and store in variable data,load ( data = car )
store car  ,load ( data = car )
distribution of the comfort in car,"histogram ( data = car , var1 = comfort )"
spans of the comfort in car data,"ranges ( data = car , var1 = comfort )"
sum of the comfort in car dataset,"summation ( data = car , var1 = comfort )"
spans of the comfort in car data,"ranges ( data = car , var1 = comfort )"
mean of comfort in car data,"mean ( data = car , var1 = comfort )"
aggregate of the comfort in car data,"summation ( data = car , var1 = comfort )"
correlation of the comfort in car,"corr ( data = car , var1 = comfort )"
deviation of comfort in car,"std ( data = car , var1 = comfort )"
sparsity of comfort in car df,"std ( data = car , var1 = comfort )"
spans of the comfort in car data,"ranges ( data = car , var1 = comfort )"
hist of comfort in car data,"histogram ( data = car , var1 = comfort )"
sparsity of the comfort in car data,"std ( data = car , var1 = comfort )"
distribution of the comfort in car data,"histogram ( data = car , var1 = comfort )"
ranges of the comfort in car data,"ranges ( data = car , var1 = comfort )"
typical of comfort in car dataset,"mean ( data = car , var1 = comfort )"
span of comfort in car dataset,"ranges ( data = car , var1 = comfort )"
span of comfort in car dataset,"ranges ( data = car , var1 = comfort )"
sum of the comfort in car data,"summation ( data = car , var1 = comfort )"
typical of comfort in car dataset,"mean ( data = car , var1 = comfort )"
deviation of the comfort in car dataset,"std ( data = car , var1 = comfort )"
sd of car,std ( data = car )
Number of entries with comfort equal to 12.90461306747217 dataset,"equal ( data = car , var1 = comfort , val = 12.90461306747217 )"
Number of data with comfort less than or equal to -53.307943604993646 ,"less_eq ( data = car , var1 = comfort , val = -53.307943604993646 )"
How many info with comfort  <=  7.726719954122302 ,"less_eq ( data = car , var1 = comfort , val = 7.726719954122302 )"
Number of data where comfort  ==  -56.397977662259045 df,"equal ( data = car , var1 = comfort , val = -56.397977662259045 )"
Number of data where comfort bigger than or same as -31.799422456745845 ,"greater_eq ( data = car , var1 = comfort , val = -31.799422456745845 )"
How many entries with comfort is -87.78906315564205 ,"equal ( data = car , var1 = comfort , val = -87.78906315564205 )"
How many info where comfort smaller than or same as -39.49449112449683 ,"less_eq ( data = car , var1 = comfort , val = -39.49449112449683 )"
Number of info with comfort less than or same as -83.68961465999591 df,"less_eq ( data = car , var1 = comfort , val = -83.68961465999591 )"
Number of data where comfort larger than 67.92553854733933 df,"greater ( data = car , var1 = comfort , val = 67.92553854733933 )"
Number of data where comfort smaller than or equal to 46.932913082202646 ,"less_eq ( data = car , var1 = comfort , val = 46.932913082202646 )"
How many data where comfort  ==  88.05100990135438 dataset,"equal ( data = car , var1 = comfort , val = 88.05100990135438 )"
How many info  comfort >= -41.20240348435396 ,"greater_eq ( data = car , var1 = comfort , val = -41.20240348435396 )"
How many data with comfort higher than -39.52132563016073 ,"greater ( data = car , var1 = comfort , val = -39.52132563016073 )"
How many data with comfort bigger than or equal to 66.35198933373209 ,"greater_eq ( data = car , var1 = comfort , val = 66.35198933373209 )"
Number of rows where comfort less than or same as -74.73443416905153 df,"less_eq ( data = car , var1 = comfort , val = -74.73443416905153 )"
Number of rows where comfort higher than 86.8731455887673 data,"greater ( data = car , var1 = comfort , val = 86.8731455887673 )"
correlation of comfort and doors in car df,"corr ( data = car, var1 = comfort , var2 = doors )"
corr of comfort with maint in car data,"corr ( data = car, var1 = comfort , var2 = maint )"
correlation of comfort and doors in car dataset,"corr ( data = car, var1 = comfort , var2 = doors )"
correlation between comfort with persons in car,"corr ( data = car, var1 = comfort , var2 = persons )"
scatter plot of comfort with lug_boot in car dataset,"scatterplot ( data = car, var1 = comfort , var2 = lug_boot )"
scatterplot of comfort with doors in car df,"scatterplot ( data = car, var1 = comfort , var2 = doors )"
cor of comfort with doors in car df,"corr ( data = car, var1 = comfort , var2 = doors )"
scatterplot of comfort and persons in car df,"scatterplot ( data = car, var1 = comfort , var2 = persons )"
load car df ,load ( data = car )
load car dataset  and store in df,load ( data = car )
store car   and store in df,load ( data = car )
load car dataset  and store in {data}_data,load ( data = car )
ranges of the doors in car df,"ranges ( data = car , var1 = doors )"
sum of the doors in car df,"summation ( data = car , var1 = doors )"
minimum of doors in car dataset,"minimum ( data = car , var1 = doors )"
maximum of the doors in car,"maximum ( data = car , var1 = doors )"
spans of doors in car df,"ranges ( data = car , var1 = doors )"
variance of the doors in car dataset,"variance ( data = car , var1 = doors )"
corr of the doors in car dataset,"corr ( data = car , var1 = doors )"
quantity of doors in car df,"summation ( data = car , var1 = doors )"
smallest of doors in car,"minimum ( data = car , var1 = doors )"
correlation of doors in car dataset,"corr ( data = car , var1 = doors )"
minimum of doors in car data,"minimum ( data = car , var1 = doors )"
sparsity of the doors in car,"variance ( data = car , var1 = doors )"
spans of doors in car df,"ranges ( data = car , var1 = doors )"
highest of doors in car dataset,"maximum ( data = car , var1 = doors )"
maximum of the doors in car df,"maximum ( data = car , var1 = doors )"
standard deviation of the doors in car data,"std ( data = car , var1 = doors )"
var of the doors in car df,"variance ( data = car , var1 = doors )"
highest of doors in car dataset,"maximum ( data = car , var1 = doors )"
range of doors in car data,"ranges ( data = car , var1 = doors )"
sparsity of doors in car dataset,"std ( data = car , var1 = doors )"
describe of the car,describe ( data = car )
How many data with doors greater than or same as -75.9335692548037 ,"greater_eq ( data = car , var1 = doors , val = -75.9335692548037 )"
How many rows where doors lower than or same as -17.47856394067668 df,"less_eq ( data = car , var1 = doors , val = -17.47856394067668 )"
Number of entries  doors greater than or equal to 39.951134081771585 df,"greater_eq ( data = car , var1 = doors , val = 39.951134081771585 )"
Number of data  doors smaller than -77.20556884332063 data,"less ( data = car , var1 = doors , val = -77.20556884332063 )"
Number of info where doors greater than -31.446586268269087 df,"greater ( data = car , var1 = doors , val = -31.446586268269087 )"
How many data  doors larger than -11.064925080176579 data,"greater ( data = car , var1 = doors , val = -11.064925080176579 )"
Number of data with doors bigger than -84.73958553400693 ,"greater ( data = car , var1 = doors , val = -84.73958553400693 )"
How many data where doors less than 25.603027867198676 data,"less ( data = car , var1 = doors , val = 25.603027867198676 )"
How many entries with doors  <  -36.283927769719824 data,"less ( data = car , var1 = doors , val = -36.283927769719824 )"
How many rows with doors < -56.52553886721918 ,"less ( data = car , var1 = doors , val = -56.52553886721918 )"
Number of data with doors less than or equal to -43.65498606993796 data,"less_eq ( data = car , var1 = doors , val = -43.65498606993796 )"
How many info with doors lower than -23.24587017390691 ,"less ( data = car , var1 = doors , val = -23.24587017390691 )"
How many rows where doors  <  75.2792053790107 df,"less ( data = car , var1 = doors , val = 75.2792053790107 )"
Number of info  doors smaller than or same as -30.523619363511642 dataset,"less_eq ( data = car , var1 = doors , val = -30.523619363511642 )"
How many data where doors lower than or equal to 64.37349356189404 data,"less_eq ( data = car , var1 = doors , val = 64.37349356189404 )"
How many info where doors > -13.250421303121044 df,"greater ( data = car , var1 = doors , val = -13.250421303121044 )"
scatter plot between doors with persons in car data,"scatterplot ( data = car, var1 = doors , var2 = persons )"
scatterplot between doors with comfort in car df,"scatterplot ( data = car, var1 = doors , var2 = comfort )"
correlation between doors with persons in car data,"corr ( data = car, var1 = doors , var2 = persons )"
correlation between doors with comfort in car dataset,"corr ( data = car, var1 = doors , var2 = comfort )"
scatter plot between doors with buying in car,"scatterplot ( data = car, var1 = doors , var2 = buying )"
corr of doors and buying in car dataset,"corr ( data = car, var1 = doors , var2 = buying )"
cor of doors with comfort in car data,"corr ( data = car, var1 = doors , var2 = comfort )"
cor between doors and persons in car dataset,"corr ( data = car, var1 = doors , var2 = persons )"
load car   and store in variable {data}_df,load ( data = car )
load car dataset ,load ( data = car )
load car dataset ,load ( data = car )
load car df  and store in variable {data}_data,load ( data = car )
var of the persons in car dataset,"variance ( data = car , var1 = persons )"
variance of the persons in car data,"variance ( data = car , var1 = persons )"
maximum of the persons in car,"maximum ( data = car , var1 = persons )"
max of the persons in car,"maximum ( data = car , var1 = persons )"
sum of the persons in car dataset,"summation ( data = car , var1 = persons )"
standard deviation of persons in car data,"std ( data = car , var1 = persons )"
histogram of persons in car dataset,"histogram ( data = car , var1 = persons )"
span of persons in car dataset,"ranges ( data = car , var1 = persons )"
amount of the persons in car data,"summation ( data = car , var1 = persons )"
corr of persons in car dataset,"corr ( data = car , var1 = persons )"
range of the persons in car dataset,"ranges ( data = car , var1 = persons )"
average of the persons in car dataset,"mean ( data = car , var1 = persons )"
deviation of the persons in car dataset,"std ( data = car , var1 = persons )"
smallest of the persons in car df,"minimum ( data = car , var1 = persons )"
deviation of the persons in car,"std ( data = car , var1 = persons )"
boxplot of persons in car dataset,"boxplot ( data = car , var1 = persons )"
typical of the persons in car data,"mean ( data = car , var1 = persons )"
quantile of persons in car data,"quantile ( data = car , var1 = persons )"
quantity of the persons in car data,"summation ( data = car , var1 = persons )"
average of persons in car df,"mean ( data = car , var1 = persons )"
typical of the car,mean ( data = car )
Number of entries with persons == 91.28685905885558 data,"equal ( data = car , var1 = persons , val = 91.28685905885558 )"
Number of info with persons less than or equal to 0.29510443547577836 data,"less_eq ( data = car , var1 = persons , val = 0.29510443547577836 )"
How many data with persons  <=  57.39513814192799 dataset,"less_eq ( data = car , var1 = persons , val = 57.39513814192799 )"
How many data where persons bigger than or same as 56.966355906332325 dataset,"greater_eq ( data = car , var1 = persons , val = 56.966355906332325 )"
How many entries with persons higher than or same as -82.91731313832864 dataset,"greater_eq ( data = car , var1 = persons , val = -82.91731313832864 )"
Number of entries with persons bigger than 86.37880439030852 data,"greater ( data = car , var1 = persons , val = 86.37880439030852 )"
How many rows with persons smaller than or same as 97.69732246804074 data,"less_eq ( data = car , var1 = persons , val = 97.69732246804074 )"
Number of entries where persons greater than or same as 58.3098929541778 dataset,"greater_eq ( data = car , var1 = persons , val = 58.3098929541778 )"
Number of rows with persons equal to 96.07887895130511 df,"equal ( data = car , var1 = persons , val = 96.07887895130511 )"
Number of entries where persons  >=  76.2027704630886 df,"greater_eq ( data = car , var1 = persons , val = 76.2027704630886 )"
Number of rows where persons lower than or equal to -81.39325368016863 df,"less_eq ( data = car , var1 = persons , val = -81.39325368016863 )"
How many data where persons lower than or same as 56.83022538986677 ,"less_eq ( data = car , var1 = persons , val = 56.83022538986677 )"
How many info  persons greater than -36.42030690210096 dataset,"greater ( data = car , var1 = persons , val = -36.42030690210096 )"
How many entries  persons <= 96.17432777441991 df,"less_eq ( data = car , var1 = persons , val = 96.17432777441991 )"
Number of entries with persons greater than or same as 74.8676479476971 dataset,"greater_eq ( data = car , var1 = persons , val = 74.8676479476971 )"
How many entries  persons  >=  82.44683954931978 data,"greater_eq ( data = car , var1 = persons , val = 82.44683954931978 )"
scatter plot between persons with maint in car,"scatterplot ( data = car, var1 = persons , var2 = maint )"
corr of persons and lug_boot in car,"corr ( data = car, var1 = persons , var2 = lug_boot )"
correlation of persons and doors in car df,"corr ( data = car, var1 = persons , var2 = doors )"
scatterplot between persons with buying in car df,"scatterplot ( data = car, var1 = persons , var2 = buying )"
scatterplot between persons and comfort in car,"scatterplot ( data = car, var1 = persons , var2 = comfort )"
