"Sex","Length","Diameter","Height","Whole.weight","Shucked.weight","Viscera.weight","Shell.weight","Rings"
"F",500,385,115,678.5,294.5,138,195,12
"F",500,385,105,498,179.5,109.5,170,17
"I",465,360,105,498,214,116,140,15
"F",525,405,160,658,265.5,112.5,225,12
"F",425,335,95,322,120.5,61,125,10
"F",380,305,95,281.5,125.5,52.5,90,8
"I",530,415,145,944,384.5,185,265,21
"M",340,265,85,183.5,77,46,65,10
"I",475,365,115,490,223,123.5,133.5,9
"F",430,340,120,391,155.5,95,140.5,7
"M",460,365,125,467,189.5,94.5,158,10
"I",470,360,130,522.5,198,106.5,165,9
"M",360,295,100,210.5,66,52.5,75,9
"M",355,265,90,168,50,41,63,8
"M",380,235,100,258,105.5,54,80,7
"M",355,260,85,190.5,81,48.5,55,6
"I",440,345,120,487,196.5,108,160,14
"F",510,400,130,573.5,219,136.5,195,13
"M",325,240,85,173,79.5,38,50,7
"I",620,485,180,1178.5,467.5,265.5,390,13
"F",590,450,160,900,358,156,315,19
"M",330,255,95,187.5,73.5,45,60,7
"M",450,340,130,371.5,160.5,79.5,105,9
"I",445,330,120,347,120,84,105,11
"M",330,215,75,114.5,45,26.5,35,6
"M",480,375,145,777,216,130,170,9
"I",460,350,120,488.5,193,105,155,11
"F",475,360,125,447,169.5,81,140,9
"M",255,180,65,79,34,14,25,5
"I",335,245,90,166.5,59.5,40,60,6
"I",470,350,130,466,184.5,99,145,11
"M",310,225,80,134.5,54,24,50,7
"F",370,280,110,230.5,94.5,46.5,75,10
"M",295,215,75,129,50,29.5,40,7
"F",555,435,165,970,336,231.5,295,17
"F",615,515,170,1140,430.5,224.5,420,16
"I",580,490,195,1316.5,530.5,254,410,18
"F",585,475,185,958.5,414.5,161.5,330,11
"I",650,525,180,1626,597,344.5,530,18
"I",535,450,170,781,305.5,155.5,295,11
"F",415,340,130,367.5,146,88.5,120,10
"F",380,305,105,281,104.5,61.5,90,12
"I",450,355,120,412,114.5,66.5,160,19
"F",395,295,95,224.5,78,54,80,10
"M",455,350,120,483.5,181.5,144,160,11
"F",485,380,150,605,215.5,140,180,15
"M",550,425,155,917.5,277.5,243,335,13
"F",450,350,145,542.5,176.5,123,175,13
"M",475,385,145,617.5,235,108,215,14
"F",500,380,155,655,240.5,143,205,17
"F",530,410,165,811.5,240,169,240,19
"M",490,390,150,573,225,124,170,21
"F",490,385,150,786.5,241,140,240,23
"F",520,395,180,640,158,110,245,22
"M",540,415,145,740,263.5,168,245,12
"F",500,375,115,594.5,185,148,190,11
"F",450,380,165,816.5,250,191.5,265,23
"F",370,275,100,222.5,93,26,80,8
"I",370,275,100,229.5,88.5,46.5,70,7
"M",485,370,140,572.5,204,141.5,175,10
"F",435,325,115,391.5,154,94,120,7
"M",535,405,185,834.5,317.5,172.5,290,16
"M",510,400,140,651.5,245.5,166.5,185,10
"M",565,440,185,909,344,232.5,255,15
"F",535,400,150,804.5,334.5,212.5,210,13
"F",535,405,125,927,260,142.5,345,16
"M",525,400,170,730.5,279,205.5,195,11
"M",590,440,150,955.5,366,242.5,295,11
"M",500,375,150,636,253.5,145,190,10
"I",255,190,75,86.5,34.5,20.5,25,5
"F",430,325,115,386.5,147.5,106.5,110,11
"M",380,290,120,283,117.5,65.5,85,9
"I",165,110,20,19,6.5,2.5,5,4
"I",315,230,90,128.5,43,40,40,7
"I",155,105,50,17.5,5,3.5,5,4
"M",280,205,100,116.5,54.5,28.5,30,5
"F",430,335,120,444,155,114.5,140,13
"F",395,315,105,351.5,118.5,91,119.5,16
"M",385,285,105,290.5,121.5,68.5,87.5,12
"F",480,385,135,536,189.5,142,173,14
"F",445,330,105,452.5,180,103,123,9
"M",395,295,115,316,120.5,59.5,110.5,12
"M",400,300,125,417,191,90,117.5,9
"M",415,325,140,417,153.5,101.5,144,10
"M",315,250,90,203,61.5,37,79.5,11
"F",345,260,90,207,77.5,43.5,76.5,10
"M",360,295,130,276.5,89.5,57,100.5,10
"I",295,225,90,110.5,40.5,24.5,32,7
"I",325,250,80,176,59.5,35.5,63,7
"M",375,300,100,246.5,104,47.5,83,11
"I",280,205,55,113.5,45,27.5,33.5,7
"M",355,265,85,201,69,53,69.5,8
"M",350,255,80,191.5,80,38.5,63,9
"I",275,200,65,103.5,47.5,20.5,30,7
"I",290,205,70,97.5,36,19,35,8
"I",250,190,60,76.5,36,11.5,24.5,6
"I",180,125,35,26.5,9.5,5.5,8.5,4
"I",150,100,25,15,4.5,4,5,2
"I",160,110,25,18,6.5,5.5,5,3
"M",555,455,160,1057.5,392.5,228,293,13
"M",555,440,150,1092,416,212,440.5,15
"M",525,410,130,990,386.5,243,295,15
"M",465,360,80,488,191,125,155,11
"F",490,360,110,500.5,161,107,195,17
"M",400,305,85,297,108,70.5,100,10
"F",480,375,105,525,218.5,119.5,155,12
"M",505,400,125,770,273.5,159,255,13
"F",520,400,120,651.5,261,201.5,165,15
"M",525,400,130,829.5,240.5,182.5,275,11
"M",545,420,130,879,374,169.5,230,13
"M",520,400,120,823,298,180.5,265,15
"M",505,380,130,656,227,178.5,220,13
"M",525,425,120,866.5,282.5,176,290,18
"M",510,390,125,656.5,262,183.5,175,10
"M",520,385,115,669,238.5,172,205,12
"F",520,405,125,643.5,241.5,173.5,210,12
"M",535,410,135,862,285.5,152.5,320,14
"M",445,345,90,379.5,143,74,125,10
"M",530,440,205,835,320,217.5,245,14
"F",360,265,90,206.5,78,57,60,8
"F",535,420,150,736.5,278.5,186,215,14
"F",520,405,140,817.5,279.5,183,260,17
"M",530,415,130,842.5,275,194.5,265,20
"F",530,420,130,1001,340,226,265,17
"F",660,520,200,1676,673,480.5,450,17
"M",520,385,140,659.5,248.5,203.5,160,9
"M",535,420,130,805.5,301,181,280,14
"M",695,515,175,1516.5,578,410.5,390,15
"F",510,390,105,612,187,150,195,13
"M",485,355,120,547,215,161.5,140,10
"F",605,460,170,1122,347,304.5,315,13
"F",580,455,165,1136.5,369,300.5,275,13
"M",650,515,175,1480.5,529.5,272,525,20
"M",620,505,185,1527.5,690,368,350,13
"M",615,525,155,1137.5,367,236,370,20
"F",605,495,190,1437,469,265.5,410,15
"M",570,440,155,1116,477.5,231.5,270,13
"M",570,430,120,1061.5,348,167,310,15
"M",585,405,150,1256.5,435,202,325,15
"F",550,440,155,946,313,182.5,335,16
"F",540,440,135,959,238.5,221,300,17
"M",640,510,190,1613,621.5,361,470,14
"F",610,470,145,1153,403,296,320,14
"M",545,450,150,978,336.5,190.5,300,11
"F",590,445,130,1132.5,382.5,234,320,13
"M",345,270,95,197,66.5,50,70,9
"F",550,430,155,785,289,227,233,11
"F",530,425,170,949,348.5,239.5,278,17
"F",530,455,165,980.5,315.5,281.5,296.5,11
"I",485,375,140,521,200,123,170,8
"M",385,275,115,268.5,97.5,82.5,85,8
"M",455,340,135,462,167.5,158,120,9
"M",490,380,140,760.5,245,167,185,10
"M",530,410,165,732,189,170,310,11
"M",505,385,145,677.5,236,179,200,15
"M",490,380,140,638.5,230.5,142,195,13
"M",465,350,140,575.5,201.5,150.5,190,15
"F",470,360,145,537,172.5,137.5,195,15
"M",560,410,165,930,350.5,237,300,13
"M",505,385,150,641.5,246,152,215,12
"M",515,435,145,881.5,292,206,255,10
"I",385,280,125,244,102,38,85,6
"I",215,155,60,52.5,21,16.5,15,5
"M",550,415,175,1042,329.5,232.5,290.5,15
"F",515,390,130,575.5,197.5,130,184.5,9
"M",495,385,135,709,211,137.5,262,12
"F",505,390,160,644,247.5,202.5,163.5,9
"F",600,465,165,887.5,309,246,262,12
"F",570,465,160,893.5,314.5,257.5,263,10
"F",485,375,135,556,192.5,131.5,168.5,10
"M",470,370,180,510,191.5,128.5,162.5,9
"M",575,450,165,921.5,327.5,225,256,12
"M",580,465,160,1034.5,315,260,363.5,12
"M",515,405,145,695,215,163.5,234,15
"M",530,410,155,715.5,280.5,168.5,214,11
"M",440,335,110,394,157,96,122,9
"M",520,420,160,745,255,157,288.5,11
"F",425,345,110,366.5,125,81,117,11
"M",460,340,135,495,165.5,117,185,10
"M",450,335,125,349,119,105.5,115,10
"M",425,330,130,440.5,152,93.5,155,9
"I",370,275,100,220,94,45,65,7
"M",515,380,135,661.5,287.5,209.5,155,10
"M",405,305,120,318.5,123.5,90.5,95,7
"I",280,205,70,101.5,41,30,30,6
"F",480,400,125,759,212.5,179,240,15
"F",440,340,130,419.5,153,115.5,130,10
"F",520,410,115,807,285.5,179,235,12
"M",505,405,140,875,266.5,174,285,12
"F",490,365,130,683.5,165,131.5,205,21
"I",235,175,55,67,27,12.5,18,6
"I",255,185,60,88,36.5,21,23,5
"I",315,240,85,171.5,71,34.5,53.5,7
"I",325,250,80,173.5,76.5,34.5,49,7
"I",335,250,80,183,73.5,40,57.5,6
"I",350,270,90,205.5,75,57.5,62,6
"I",350,250,70,180,65.5,48,54,6
"I",360,300,85,270,118.5,64,74.5,7
"I",365,275,135,240,108,44.5,73.5,7
"I",370,275,140,221.5,97,45.5,61.5,6
"I",380,275,95,137.5,86,58.5,60.5,7
"I",385,290,95,312,143,63.5,86,6
"I",385,300,100,289.5,121.5,63,90,7
"I",395,290,95,319,138,80,82,7
"I",395,290,95,304,127,84,77,6
"I",400,310,100,306,130,60,94,6
"I",410,325,100,394,208,65.5,106,6
"I",415,320,110,373.5,175,75.5,109,7
"M",415,305,100,325,156,50.5,91,6
"I",425,325,100,398,118.5,64.5,94.5,6
"I",440,365,115,501,243.5,84,146.5,9
"I",445,335,100,489.5,274.5,86,110.5,7
"I",445,325,100,378,179.5,100,89,7
"I",450,350,130,547,245,140.5,140.5,8
"M",470,375,120,580.5,266,93.5,169,8
"I",475,365,125,546.5,229,118.5,172,9
"F",480,365,135,639.5,294.5,113,175,8
"I",485,355,105,498,217.5,96,152.5,9
"M",490,385,125,609,306.5,96,177.5,8
"F",495,410,125,755.5,335.5,129,214,9
"M",500,400,125,597.5,270,127.5,166,9
"M",505,440,140,827.5,341.5,185.5,239,8
"M",525,395,130,763.5,337.5,142.5,225,8
"M",540,405,125,891,481.5,191.5,202,9
"F",540,420,140,805,369,172.5,210,11
"F",545,440,135,918.5,429,201.5,237.5,10
"F",550,430,125,923,403.5,175,283,8
"M",550,450,150,1014.5,407,201.5,287.5,10
"F",550,450,150,875,362,175.5,276.5,10
"M",555,435,145,968.5,498.5,168,238.5,9
"M",565,450,155,1059.5,473.5,240,265,10
"M",570,455,150,952,389.5,215.5,274.5,9
"M",570,435,130,753.5,349,175.5,194,10
"F",575,465,140,958,442,181.5,270.5,9
"M",590,475,165,1077,454.5,244,309.5,9
"M",590,460,130,1102,455,205.5,330,12
"F",595,480,150,1110,498,228,330,10
"F",595,480,160,1209.5,522.5,296,320,8
"F",595,475,160,1140.5,547,231,271,6
"F",595,465,140,1113,517.5,244,305,12
"M",600,475,175,1344.5,549,287.5,360,11
"F",600,475,155,1210,653,169.5,320.5,10
"M",600,495,175,1290,606,276,344.5,11
"F",605,475,175,1382,609,232.5,398.5,10
"M",605,455,160,1103.5,421,301.5,325,9
"F",615,500,175,1377,558.5,330,292,12
"F",615,520,150,1343.5,629,260.5,345,10
"M",615,510,150,1296,545,331.5,320,9
"M",615,505,165,1340,531.5,281.5,410,12
"F",620,505,160,1372.5,628.5,275,368.5,11
"M",620,500,165,1307,635.5,254.5,315,9
"F",625,490,155,1208.5,465,162,411,11
"F",625,490,200,1382.5,589.5,285,381,11
"M",630,505,165,1260,452.5,275.5,406,14
"M",635,510,170,1355.5,619,305,390,9
"F",635,500,150,1376,649.5,361,310,10
"F",635,485,165,1294.5,668,260.5,271.5,9
"F",640,510,165,1486,759.5,332,321,8
"M",650,525,175,1471.5,675,315,399,11
"M",655,520,165,1409.5,586,291,405,9
"M",655,580,205,2080.5,959,341.5,601,17
"M",660,530,170,1390.5,590.5,212,453,15
"M",660,520,190,1558,755,298,400,10
"F",670,585,160,1309,544.5,294.5,413,10
"F",675,525,170,1809.5,784,391,455,12
"F",675,525,155,1478.5,628,340.5,420,9
"F",680,560,195,1777.5,861,322,415,11
"F",685,540,160,1667.5,833,377.5,475,11
"F",695,560,220,1834,845.5,422,455,11
"M",730,595,230,2825.5,1146.5,419,897,17
"I",205,140,50,46,16.5,12,13.5,6
"I",240,175,55,70.5,25,14,21,5
"I",240,175,65,66.5,31,13.5,17,3
"I",255,190,50,83,29.5,21.5,27,6
"I",255,180,55,83,31,21.5,20,4
"I",265,195,60,92,34.5,25,24.5,6
"I",280,120,75,117,45.5,29,34.5,4
"I",295,230,80,162.5,65,50,38.5,5
"I",300,235,80,131,50,26.5,43,4
"I",300,230,95,138.5,56,36.5,37,6
"I",305,220,70,141,62,31,37,5
"I",315,235,75,148.5,58.5,37.5,42.5,6
"I",315,230,70,144,53,30.5,40,8
"I",320,240,90,157.5,70,26.5,42.5,5
"I",325,240,75,187,82.5,44.5,50,6
"I",330,265,85,196,77.5,30.5,44.5,6
"I",335,250,75,182.5,70.5,44,55,7
"I",335,250,75,186,94.5,38,44.5,7
"I",340,250,75,178.5,66.5,45.5,45,5
"I",340,250,70,222.5,104,42.5,55,7
"I",345,265,100,245.5,111,53.5,65,7
"I",370,290,95,249,104.5,58,67,6
"I",370,280,95,286.5,150.5,69,79.5,7
"I",375,280,90,215,84,60,55,6
"I",385,265,80,251,124,37,70,6
"I",410,310,90,339,155,69.5,90,7
"I",410,305,90,353.5,157,74.5,100,7
"I",410,310,90,333.5,163.5,61,91,6
"I",415,330,90,359.5,170,81,90,6
"I",420,320,115,376,169,92,100,5
"I",420,315,100,343.5,157,79.5,90,6
"I",425,340,100,382,164,96,100,6
"I",425,315,100,377,164.5,72,105,6
"I",430,325,100,364.5,157.5,82.5,105,7
"I",430,325,90,425,217,87,95,7
"I",435,325,120,399.5,181.5,61,112.5,8
"I",435,340,115,392.5,182.5,78,114.5,6
"I",440,345,130,449.5,209,83.5,134,6
"I",440,325,90,350,148,67,105,7
"F",445,335,110,435.5,202.5,109.5,119.5,6
"I",445,350,130,419.5,169.5,94.5,119.5,7
"I",450,360,130,478,191,127,137,7
"I",450,355,105,444.5,197,93,133.5,8
"I",450,345,110,470,235.5,85.5,113.5,7
"I",450,335,105,447,233.5,153,119,7
"I",455,355,125,532.5,225,126,146.5,7
"I",455,375,120,497,235.5,105.5,129.5,6
"I",460,360,100,463.5,232.5,93,115,7
"I",460,345,105,449,196,94.5,126.5,7
"I",465,365,115,467,231.5,92.5,113,7
"I",465,370,115,534,261,98,143,7
"I",465,345,110,441.5,175.5,90.5,120,7
"F",465,350,125,482,230,106,109.5,6
"M",470,365,120,612,327,150,140,8
"F",470,365,120,582,290,92,146,8
"M",475,370,125,537,222,121.5,150,9
"F",475,360,120,591.5,324.5,110,127,6
"M",480,375,115,676.5,320.5,106.5,170,6
"M",480,385,145,640,292.5,140.5,157.5,6
"M",480,360,100,439,194,99,115,8
"M",480,365,120,601.5,312,117,140,7
"F",485,370,115,478.5,199.5,95.5,129,7
"M",490,385,125,649,320,124,169.5,8
"M",495,395,135,633.5,303.5,129.5,149.5,8
"M",495,400,135,610,272,143.5,144,7
"M",500,390,135,659.5,314.5,153.5,156.5,6
"I",500,385,120,560,283.5,103,135,8
"M",500,385,135,642.5,319.5,129,153.5,7
"M",500,400,125,672.5,336,120,182.5,7
"F",505,390,130,674,316.5,141,178.5,9
"I",505,390,150,685,362,131,156,8
"M",505,410,125,642,289,133,155,9
"I",505,355,125,601,250,120.5,185,8
"M",510,390,135,769,393.5,145.5,190,8
"I",510,375,100,578.5,238,122.5,175,7
"I",510,405,135,769,365.5,158.5,180,7
"M",510,405,150,703.5,347,134,188.5,8
"M",510,410,145,796,386.5,181.5,195.5,8
"F",515,430,140,834,367,200,230,8
"M",515,390,155,712.5,369.5,137,155,7
"F",525,415,140,724,347.5,173,175,8
"M",525,400,140,732.5,334,157.5,170,11
"F",530,425,130,758.5,325,197,205,8
"F",530,425,150,849.5,328,232,202,8
"M",530,405,125,651.5,271.5,160.5,186,7
"F",535,400,135,821.5,393.5,196,205,8
"M",535,430,140,716.5,285.5,159.5,215.5,8
"M",535,435,140,874,373.5,229,219.5,8
"F",550,445,155,990.5,544,178,218,9
"F",550,430,140,810.5,368,161,275,9
"F",560,455,160,967,452.5,207,274,9
"F",565,400,130,697.5,307.5,166.5,180,8
"M",570,450,155,1195,562.5,256.5,295,10
"M",570,450,155,1193.5,513,210,343,10
"F",570,455,150,1107,540,255,270,8
"M",570,445,140,1063.5,526.5,219.5,240,8
"M",570,460,170,903.5,407.5,193.5,214,7
"M",575,475,160,1114,495.5,274.5,290,9
"F",575,460,160,1103,538,221,249,9
"F",580,460,150,1115.5,557.5,225.5,290,7
"F",580,460,180,1051.5,409.5,259.5,276,8
"M",580,455,150,1012,498.5,211.5,283.5,10
"F",580,450,145,1137,558.5,220,290,8
"M",580,490,130,1133.5,586,256.5,237,9
"M",590,465,155,1136,524.5,261.5,275,11
"M",590,470,160,1206,479,242.5,309,8
"F",590,455,145,1063,515.5,244.5,250,8
"F",595,470,155,1121,451.5,178,155,11
"F",595,450,150,1114,586.5,220.5,250,11
"M",595,475,165,1213,621,243.5,274,9
"F",595,460,140,1004.5,465.5,209.5,251.5,9
"M",595,455,150,1044,518,220.5,270,9
"F",605,490,150,1134.5,526.5,264.5,295,9
"M",605,475,155,1161,572,245.5,275,9
"M",605,470,165,1231.5,602.5,262,292.5,11
"M",610,470,150,1162.5,565,258,308.5,11
"M",610,475,155,1168,554,239,329.5,10
"F",615,480,160,1252.5,585,259.5,330,8
"F",620,510,180,1331.5,594,276,388,11
"F",625,480,170,1352.5,623.5,278,365,10
"M",625,490,175,1332.5,570.5,271,405,10
"F",625,475,175,1143.5,475.5,247.5,349,10
"F",625,500,165,1288,573,303.5,315,9
"F",625,485,200,1380,584.5,302,401,9
"M",630,485,155,1278,637,275,310,8
"F",630,495,165,1307.5,599,284,315,11
"M",630,480,150,1178.5,518.5,248,323.5,8
"M",635,490,175,1375,623,270.5,395,11
"M",635,525,185,1406.5,684,300,374.5,10
"M",640,505,155,1402.5,705,265.5,335,10
"F",640,500,170,1517.5,693,326,409,11
"F",640,500,175,1394,493.5,291,400,10
"F",645,500,155,1220.5,614.5,236,318.5,10
"M",645,520,175,1636,779,342,432,11
"M",645,520,175,1561,709,355.5,400,8
"F",645,505,165,1432.5,684,308,336,8
"M",645,500,175,1338.5,633,299,349,11
"F",645,500,160,1246.5,547.5,327,300,10
"F",645,515,150,1212,515,205.5,385,10
"M",650,495,160,1304,570,312,372.5,9
"M",650,520,210,1678.5,666.5,308,460,11
"M",650,525,185,1622,664.5,322.5,477,10
"F",655,460,160,1494,689.5,331,182.5,9
"F",655,510,175,1652.5,851.5,336.5,403,10
"F",660,505,185,1528,690,302.5,441,11
"M",660,535,190,1590.5,642.5,297,517.5,9
"M",660,495,195,1627.5,594,359.5,485,10
"F",660,475,180,1369.5,641,294,335,6
"M",670,525,165,1608.5,682,314.5,400.5,11
"F",675,570,225,1587,739,299.5,435,10
"F",675,565,195,1837.5,764.5,361.5,553,12
"M",680,535,185,1607,724.5,321.5,498,12
"M",690,525,175,1700.5,825.5,362,405,8
"M",690,505,200,1872,893,401.5,480,10
"F",695,535,175,1838.5,803.5,396,503,10
"F",705,535,180,1685,693,420,404.5,12
"M",710,565,205,2198,1012,522.5,547.5,11
"M",715,565,175,1952.5,764.5,418.5,413.5,10
"F",715,525,185,1560,665.5,383,405,11
"F",735,600,220,2555,1133.5,440,600,11
"M",765,600,220,2302,1007,509,620.5,12
"I",185,130,45,29,12,7.5,9.5,4
"I",195,150,45,37.5,18,6,11,3
"I",195,135,40,32.5,13.5,5,9.5,4
"I",200,155,40,43.5,15.5,9,7,4
"I",225,165,55,59,27,12.5,15,4
"I",245,180,65,71,30,13,21.5,4
"I",250,180,65,68.5,24.5,15.5,22.5,5
"I",265,195,55,84,36.5,17.5,25,7
"I",275,195,65,106,54,20,28,6
"I",280,210,85,107.5,41.5,24,34,5
"I",285,220,65,96,40.5,20.5,30,5
"I",300,220,80,125.5,55,26.5,39,6
"I",315,235,55,151,65,27,39,6
"I",320,225,85,141.5,67.5,29.5,40.5,6
"I",340,265,80,201.5,90,47.5,55,5
"I",370,280,100,221,116.5,26.5,63.5,6
"I",375,280,80,234.5,112.5,45.5,67,6
"I",375,275,100,232.5,116.5,42,65,6
"I",385,290,80,248.5,122,49.5,65,7
"I",400,320,95,348,194,53,87,6
"I",405,300,110,320,172,44,93,7
"I",410,300,100,282,125.5,57,87.5,7
"I",410,325,100,324.5,132,72,106,6
"I",420,300,105,316,125.5,70,103.5,7
"I",420,320,110,362.5,174,63.5,105,7
"I",420,310,95,279,125.5,51,88,6
"I",425,325,115,368.5,162,86.5,104.5,7
"M",430,335,120,397,198.5,86.5,103.5,7
"I",435,330,110,413,205.5,96,96,6
"I",435,345,115,418,222,73.5,106,7
"I",440,330,110,370.5,154.5,84,120,7
"I",445,345,105,409,167.5,101.5,117,7
"I",445,340,145,434,194.5,90.5,130,7
"I",445,335,110,411,198.5,93.5,109,8
"I",450,365,125,462,213.5,98.5,131.5,8
"I",450,340,120,492.5,241,107.5,120,6
"I",450,330,105,371.5,186.5,78.5,97.5,7
"I",450,330,100,411,194.5,100,98,6
"I",450,330,110,368.5,160,88.5,102,6
"I",460,350,115,415.5,180,98,117.5,7
"M",470,360,105,544,270,139.5,129,7
"I",470,380,125,484.5,211,107.5,142,6
"I",475,350,110,456.5,206,99,130,6
"I",475,350,100,454.5,216.5,111,115,7
"I",480,380,125,624.5,339.5,108.5,166.5,8
"M",490,465,125,522.5,235,130,141,7
"I",500,375,140,549.5,248,112,158.5,7
"I",500,375,120,542,215,116,170,9
"I",500,380,125,519,248.5,113.5,134,8
"M",500,390,125,521.5,248.5,117,131,6
"F",505,390,125,544.5,246,150,140.5,7
"I",510,405,125,679.5,346.5,139.5,182,8
"F",510,400,125,545,261,115,138.5,6
"I",510,400,125,557.5,261.5,119.5,152.5,9
"I",510,380,115,515.5,215,113.5,166,8
"I",515,385,125,611.5,317.5,126.5,150,8
"M",520,400,145,776.5,352.5,184.5,185,9
"I",520,380,135,539.5,229.5,133,157,8
"I",520,380,125,554.5,288,129.5,167,8
"F",520,460,150,1019,523,198.5,254,7
"I",525,400,130,645.5,325,124.5,170,8
"I",525,400,140,601,262.5,128.5,183.5,9
"M",525,405,120,755.5,375.5,155.5,201,9
"I",525,395,120,608,297,139.5,140.5,8
"I",530,400,125,617,279,127,190,8
"I",535,390,125,599,259.5,149,169,9
"I",540,420,140,666.5,312.5,138,189.5,10
"M",545,390,135,783.5,422.5,181.5,156,7
"M",545,410,120,793,434,140.5,190,9
"M",545,415,140,820,461.5,127,218,9
"F",550,415,135,814.5,427,185.5,175,8
"F",550,430,150,840,395,195,223,8
"M",550,425,150,831.5,411,176.5,216.5,10
"M",560,430,145,899.5,464,177.5,234,9
"M",560,445,160,896.5,420,217.5,221.5,8
"F",560,440,155,640.5,336,176.5,245,8
"M",560,415,145,852,430,188.5,205,8
"M",565,455,150,959.5,456.5,239.5,230,9
"M",565,435,150,990,579.5,182.5,206,8
"F",565,450,175,1009.5,447,237.5,264.5,9
"M",570,460,150,1037.5,541.5,203.5,250,9
"F",570,445,145,877.5,412,217,220,8
"I",570,440,150,755,342.5,160,224,8
"F",575,460,145,994.5,466,229,265,7
"F",575,450,160,1068,556,214,257.5,10
"M",575,435,140,845.5,401,191,222,9
"F",575,470,165,869,435,197,238,9
"M",575,455,135,907,424.5,197,260,9
"I",575,435,130,805,315.5,215.5,245,10
"M",575,445,170,1022.5,549,217.5,228,9
"M",575,445,145,847,415,194.5,220,9
"M",580,455,150,1114,476.5,215.5,265,8
"M",580,455,195,1859,945,426,441,9
"M",580,445,135,814,377.5,191.5,220,9
"M",580,450,140,961.5,486,181.5,253,9
"M",580,450,145,1002.5,547,197.5,229.5,8
"F",580,450,155,930,385,246,265,9
"M",585,460,145,933.5,478,182.5,235,9
"M",585,465,160,955.5,459.5,236,265,7
"M",590,470,150,995.5,481,232,240,8
"F",600,475,160,1026.5,485,249.5,256.5,9
"M",600,455,170,1191.5,696,239.5,240,8
"F",600,465,150,1102.5,545.5,262,250,8
"M",600,465,155,1016.5,512,246.5,225,10
"F",605,470,165,1177.5,611,227.5,292,9
"M",605,475,140,1117.5,555,257,274,9
"M",605,480,170,1183.5,582,236.5,317,10
"F",605,475,165,1056,433,219.5,357,9
"M",610,485,160,1014.5,531.5,212,241.5,8
"M",610,485,145,1330.5,783,225.5,286.5,9
"M",610,470,165,1052,498,242,267,9
"M",615,460,170,1056.5,481.5,272,270,10
"F",615,465,150,923,461.5,182.5,241.5,9
"F",615,475,155,1027,447,250,285,9
"M",620,470,135,1019.5,531.5,200.5,247.5,8
"M",620,450,200,858,428.5,152.5,240.5,8
"F",620,480,160,1112.5,563.5,244.5,281,8
"F",625,485,175,1374.5,733.5,271.5,332,9
"M",625,480,185,1206.5,587,290,286,8
"M",630,470,155,1132.5,589,211,287,8
"M",630,500,175,1264.5,563.5,306.5,342.5,10
"F",635,495,15,1156.5,511.5,308,288.5,9
"M",640,515,165,1369,632,341.5,358,10
"M",645,530,195,1390,646.5,294.5,373.5,10
"F",645,480,170,1134.5,528,254,305,10
"F",650,500,190,1464,641.5,339,424.5,9
"M",650,500,155,1202,565,313.5,294,11
"M",655,515,160,1310,553,369,345,11
"F",655,510,175,1415,588.5,372.5,364,10
"F",660,530,185,1346,546,270.5,476,11
"M",665,525,160,1363,629,279,340,8
"I",665,500,170,1297.5,603.5,291,359.5,9
"F",670,505,205,1364.5,607.5,302.5,353,9
"F",685,540,215,1702.5,664,365.5,473.5,14
"M",685,520,165,1519,699,368.5,400,10
"F",690,540,155,1454,624,310.5,390,9
"M",690,530,210,1583,735.5,405,386.5,12
"F",690,530,170,1553.5,794.5,348.5,369.5,9
"M",695,560,185,1740,885,371.5,437.5,10
"M",700,565,180,1751,895,335.5,446,9
"M",700,575,190,2273,1095,418,638,12
"F",700,525,190,1646.5,854.5,307,399.5,9
"F",705,550,170,1219,639.5,236,301,9
"F",710,560,180,1652,735,381,452.5,11
"M",715,550,190,2004.5,1046.5,407,507.5,12
"M",715,535,190,1675.5,889,313,420,10
"F",720,580,195,2103,1026.5,480,537.5,10
"F",720,550,200,1996.5,903.5,469,521.5,10
"M",720,565,145,1187,691,194.5,268.5,8
"M",725,505,185,1978,1026,425.5,450.5,12
"F",730,575,185,1879.5,931,380,482.5,12
"M",735,585,185,2124,952,550,500,11
"M",745,565,215,1931,896,458.5,500,11
"F",750,570,210,2236,1109,519.5,545,11
"F",755,625,210,2505,1196.5,513,678.5,11
"M",755,580,205,2006.5,829.5,401.5,595,10
"F",780,630,215,2657,1488,498.5,586,11
"I",185,375,120,464.5,196,104.5,150,6
"I",245,205,60,76.5,34,14,21.5,4
"I",250,185,65,68.5,29.5,14,22.5,5
"I",250,190,65,83.5,39,15,25,5
"I",275,195,90,112.5,54.5,29.5,35.5,6
"I",305,215,65,107.5,44,20.5,38,5
"I",310,225,70,105.5,435,15,40,5
"I",315,230,80,137.5,54.5,31,44.5,5
"I",315,230,70,114.5,46,23.5,38.5,5
"I",325,225,75,139,56.5,32,90,6
"I",330,250,95,208.5,102,39.5,52,7
"I",330,205,95,159.5,77,32,43.5,5
"I",335,245,90,201.5,96,40.5,48,7
"I",340,250,90,179,77.5,33,55,6
"I",345,255,95,194.5,92.5,37,55,6
"I",345,255,85,200.5,105,37,50,5
"I",350,270,75,215,100,36,65,6
"I",350,255,90,178.5,85.5,30.5,52.5,8
"I",360,270,85,196,87.5,35,64,4
"I",365,270,85,187.5,81,42,58,6
"I",365,270,85,196,82.5,37.5,60,7
"I",365,265,85,213,94.5,49,60,7
"I",370,290,90,244.5,89,65.5,75,7
